Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register_Login_Cart,Chrome 95.0.4638.69,,,2021-11-03 23:39:20,2021-11-03 23:40:41,1m - 20.532s,FAILED
,,,,,,,
Test Cases/Web SehatQ/Register_Login_Cart,Chrome 95.0.4638.69,,,2021-11-03 23:39:21,2021-11-03 23:39:43,21.813s,PASSED
"openBrowser(""https://www.sehatq.com/"")",Chrome 95.0.4638.69,,,2021-11-03 23:39:21,2021-11-03 23:39:25,4.109s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-11-03 23:39:25,2021-11-03 23:39:25,0.174s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Profile""))",Chrome 95.0.4638.69,,,2021-11-03 23:39:25,2021-11-03 23:39:30,4.285s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Daftar""))",Chrome 95.0.4638.69,,,2021-11-03 23:39:30,2021-11-03 23:39:31,1.056s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Nama_Lengkap""), Input_Nama_Lengkap)",Chrome 95.0.4638.69,,,2021-11-03 23:39:31,2021-11-03 23:39:32,1.119s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Email""), Input_Email)",Chrome 95.0.4638.69,,,2021-11-03 23:39:32,2021-11-03 23:39:34,2.239s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Password_Email""), Input_Password_Email)",Chrome 95.0.4638.69,,,2021-11-03 23:39:34,2021-11-03 23:39:35,0.876s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/View_Password""))",Chrome 95.0.4638.69,,,2021-11-03 23:39:35,2021-11-03 23:39:35,0.524s,PASSED
"check(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Click_Saya menyetujui Ketentuan dan Kebijakan Privasi di SehatQ""))",Chrome 95.0.4638.69,,,2021-11-03 23:39:35,2021-11-03 23:39:36,0.446s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Button_Daftar""))",Chrome 95.0.4638.69,,,2021-11-03 23:39:36,2021-11-03 23:39:36,0.556s,PASSED
delay(3),Chrome 95.0.4638.69,,,2021-11-03 23:39:36,2021-11-03 23:39:40,3.024s,PASSED
"if (Action == ""sudah terdaftar"")",Chrome 95.0.4638.69,,,2021-11-03 23:39:40,2021-11-03 23:39:43,3.017s,PASSED
,,,,,,,
Test Cases/Web SehatQ/Register_Login_Cart,Chrome 95.0.4638.69,,,2021-11-03 23:39:43,2021-11-03 23:40:41,58.326s,FAILED
"openBrowser(""https://www.sehatq.com/"")",Chrome 95.0.4638.69,,,2021-11-03 23:39:43,2021-11-03 23:39:46,3.168s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-11-03 23:39:46,2021-11-03 23:39:46,0.156s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Profile""))",Chrome 95.0.4638.69,,,2021-11-03 23:39:46,2021-11-03 23:39:50,4.287s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Daftar""))",Chrome 95.0.4638.69,,,2021-11-03 23:39:50,2021-11-03 23:39:51,0.911s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Nama_Lengkap""), Input_Nama_Lengkap)",Chrome 95.0.4638.69,,,2021-11-03 23:39:51,2021-11-03 23:39:52,1.183s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Email""), Input_Email)",Chrome 95.0.4638.69,,,2021-11-03 23:39:52,2021-11-03 23:39:54,2.048s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Password_Email""), Input_Password_Email)",Chrome 95.0.4638.69,,,2021-11-03 23:39:54,2021-11-03 23:39:55,0.790s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/View_Password""))",Chrome 95.0.4638.69,,,2021-11-03 23:39:55,2021-11-03 23:39:56,0.577s,PASSED
"check(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Click_Saya menyetujui Ketentuan dan Kebijakan Privasi di SehatQ""))",Chrome 95.0.4638.69,,,2021-11-03 23:39:56,2021-11-03 23:39:56,0.467s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Button_Daftar""))",Chrome 95.0.4638.69,,,2021-11-03 23:39:56,2021-11-03 23:39:57,0.563s,PASSED
delay(3),Chrome 95.0.4638.69,,,2021-11-03 23:39:57,2021-11-03 23:40:00,3.006s,PASSED
"if (Action == ""sudah terdaftar"")",Chrome 95.0.4638.69,,,2021-11-03 23:40:00,2021-11-03 23:40:00,0.001s,PASSED
else,Chrome 95.0.4638.69,,,2021-11-03 23:40:00,2021-11-03 23:40:41,41.152s,FAILED
