Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cart,,,,2021-11-06 09:48:16,2021-11-06 09:48:55,38.804s,FAILED
,,,,,,,
Test Cases/APK SehatQ/Cart,,,,2021-11-06 09:48:17,2021-11-06 09:48:55,38.441s,FAILED
"startExistingApplication(""com.she.sehatq"")",,,,2021-11-06 09:48:17,2021-11-06 09:48:31,14.179s,PASSED
"tap(findTestObject(""OR APK/Aktifkan_Lokasi_Tidak""), 0)",,,,2021-11-06 09:48:31,2021-11-06 09:48:36,4.747s,PASSED
"tap(findTestObject(""OR APK/Klik_Profile""), 0)",,,,2021-11-06 09:48:36,2021-11-06 09:48:37,1.278s,PASSED
"setText(findTestObject(""OR APK/Email_Login""), email, 0)",,,,2021-11-06 09:48:37,2021-11-06 09:48:40,2.771s,PASSED
"setText(findTestObject(""OR APK/Password_Login""), password, 0)",,,,2021-11-06 09:48:40,2021-11-06 09:48:42,1.735s,PASSED
"tap(findTestObject(""OR APK/Button_Login""), 0)",,,,2021-11-06 09:48:42,2021-11-06 09:48:42,0.869s,PASSED
"tap(findTestObject(""OR APK/Klik_Lewati_after_Login""), 0)",,,,2021-11-06 09:48:42,2021-11-06 09:48:46,3.563s,PASSED
"tap(findTestObject(""OR APK/Yakin_Lewati_Pendaftaran_Ya""), 0)",,,,2021-11-06 09:48:46,2021-11-06 09:48:47,0.862s,PASSED
"tap(findTestObject(""OR APK/Klik_Back_from_Profile""), 0)",,,,2021-11-06 09:48:47,2021-11-06 09:48:49,1.831s,PASSED
"tap(findTestObject(""OR APK/Cart""), 0)",,,,2021-11-06 09:48:49,2021-11-06 09:48:50,1.515s,PASSED
"tap(findTestObject(""OR APK/Klik_Belanja_Sekarang""), 0)",,,,2021-11-06 09:48:50,2021-11-06 09:48:52,2.079s,PASSED
"tap(findTestObject(""OR APK/Image_Toko""), 0)",,,,2021-11-06 09:48:52,2021-11-06 09:48:55,2.678s,FAILED
