Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register_Login_Cart,Chrome 95.0.4638.69,,,2021-11-04 17:00:08,2021-11-04 17:01:44,1m - 35.989s,FAILED
,,,,,,,
Test Cases/Web SehatQ/Register_Login_Cart,Chrome 95.0.4638.69,,,2021-11-04 17:00:08,2021-11-04 17:00:38,29.210s,PASSED
"openBrowser(""https://www.sehatq.com/"")",Chrome 95.0.4638.69,,,2021-11-04 17:00:09,2021-11-04 17:00:20,11.629s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-11-04 17:00:20,2021-11-04 17:00:22,1.790s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Profile""))",Chrome 95.0.4638.69,,,2021-11-04 17:00:22,2021-11-04 17:00:25,2.581s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Email_Login""), Input_Email_Login)",Chrome 95.0.4638.69,,,2021-11-04 17:00:25,2021-11-04 17:00:27,2.042s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Password_Login""), Input_Password_Login)",Chrome 95.0.4638.69,,,2021-11-04 17:00:27,2021-11-04 17:00:29,1.893s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/button_Login""))",Chrome 95.0.4638.69,,,2021-11-04 17:00:29,2021-11-04 17:00:29,0.513s,PASSED
"if (Action == ""gagal"")",Chrome 95.0.4638.69,,,2021-11-04 17:00:29,2021-11-04 17:00:38,8.363s,PASSED
,,,,,,,
Test Cases/Web SehatQ/Register_Login_Cart,Chrome 95.0.4638.69,,,2021-11-04 17:00:38,2021-11-04 17:00:59,21.083s,PASSED
"openBrowser(""https://www.sehatq.com/"")",Chrome 95.0.4638.69,,,2021-11-04 17:00:38,2021-11-04 17:00:43,4.913s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-11-04 17:00:43,2021-11-04 17:00:44,1.191s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Profile""))",Chrome 95.0.4638.69,,,2021-11-04 17:00:44,2021-11-04 17:00:46,2.185s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Email_Login""), Input_Email_Login)",Chrome 95.0.4638.69,,,2021-11-04 17:00:46,2021-11-04 17:00:48,1.941s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Password_Login""), Input_Password_Login)",Chrome 95.0.4638.69,,,2021-11-04 17:00:48,2021-11-04 17:00:50,2.083s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/button_Login""))",Chrome 95.0.4638.69,,,2021-11-04 17:00:50,2021-11-04 17:00:51,0.544s,PASSED
"if (Action == ""gagal"")",Chrome 95.0.4638.69,,,2021-11-04 17:00:51,2021-11-04 17:00:51,0.002s,PASSED
"else if (Action == ""sudah terdaftar"")",Chrome 95.0.4638.69,,,2021-11-04 17:00:51,2021-11-04 17:00:59,8.201s,PASSED
,,,,,,,
Test Cases/Web SehatQ/Register_Login_Cart,Chrome 95.0.4638.69,,,2021-11-04 17:00:59,2021-11-04 17:01:44,45.231s,FAILED
"openBrowser(""https://www.sehatq.com/"")",Chrome 95.0.4638.69,,,2021-11-04 17:00:59,2021-11-04 17:01:05,6.629s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-11-04 17:01:05,2021-11-04 17:01:06,1.017s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Profile""))",Chrome 95.0.4638.69,,,2021-11-04 17:01:06,2021-11-04 17:01:09,2.087s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Email_Login""), Input_Email_Login)",Chrome 95.0.4638.69,,,2021-11-04 17:01:09,2021-11-04 17:01:10,1.823s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Password_Login""), Input_Password_Login)",Chrome 95.0.4638.69,,,2021-11-04 17:01:10,2021-11-04 17:01:12,1.340s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/button_Login""))",Chrome 95.0.4638.69,,,2021-11-04 17:01:12,2021-11-04 17:01:13,0.833s,PASSED
"if (Action == ""gagal"")",Chrome 95.0.4638.69,,,2021-11-04 17:01:13,2021-11-04 17:01:13,0.001s,PASSED
"else if (Action == ""sudah terdaftar"")",Chrome 95.0.4638.69,,,2021-11-04 17:01:13,2021-11-04 17:01:13,0.001s,PASSED
"else if (Action == ""belum terdaftar"")",Chrome 95.0.4638.69,,,2021-11-04 17:01:13,2021-11-04 17:01:44,31.466s,FAILED
