Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register_Login_Cart,Chrome 95.0.4638.69,,,2021-11-03 22:53:36,2021-11-03 22:55:24,1m - 47.919s,FAILED
,,,,,,,
Test Cases/Web SehatQ/Register_Login_Cart,Chrome 95.0.4638.69,,,2021-11-03 22:53:36,2021-11-03 22:54:39,1m - 2.430s,FAILED
"openBrowser(""https://www.sehatq.com/"")",Chrome 95.0.4638.69,,,2021-11-03 22:53:37,2021-11-03 22:53:41,4.405s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-11-03 22:53:41,2021-11-03 22:53:41,0.236s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Profile""))",Chrome 95.0.4638.69,,,2021-11-03 22:53:41,2021-11-03 22:53:46,4.126s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Daftar""))",Chrome 95.0.4638.69,,,2021-11-03 22:53:46,2021-11-03 22:53:47,0.993s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Nama_Lengkap""), Input_Nama_Lengkap)",Chrome 95.0.4638.69,,,2021-11-03 22:53:47,2021-11-03 22:53:48,1.487s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Email""), Input_Email)",Chrome 95.0.4638.69,,,2021-11-03 22:53:48,2021-11-03 22:53:50,1.927s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Password_Email""), Input_Password_Email)",Chrome 95.0.4638.69,,,2021-11-03 22:53:50,2021-11-03 22:53:51,0.945s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/View_Password""))",Chrome 95.0.4638.69,,,2021-11-03 22:53:51,2021-11-03 22:53:52,0.606s,PASSED
"check(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Click_Saya menyetujui Ketentuan dan Kebijakan Privasi di SehatQ""))",Chrome 95.0.4638.69,,,2021-11-03 22:53:52,2021-11-03 22:53:52,0.471s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Button_Daftar""))",Chrome 95.0.4638.69,,,2021-11-03 22:53:52,2021-11-03 22:53:52,0.477s,PASSED
delay(3),Chrome 95.0.4638.69,,,2021-11-03 22:53:52,2021-11-03 22:53:56,3.028s,PASSED
"if (waitForElementVisible(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Email sudah ada, mohon gunakan email lain""), 10))",Chrome 95.0.4638.69,,,2021-11-03 22:53:56,2021-11-03 22:54:07,11.436s,PASSED
else,Chrome 95.0.4638.69,,,2021-11-03 22:54:07,2021-11-03 22:54:39,31.888s,FAILED
,,,,,,,
Test Cases/Web SehatQ/Register_Login_Cart,Chrome 95.0.4638.69,,,2021-11-03 22:54:39,2021-11-03 22:55:24,45.063s,PASSED
"openBrowser(""https://www.sehatq.com/"")",Chrome 95.0.4638.69,,,2021-11-03 22:54:39,2021-11-03 22:54:42,3.318s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2021-11-03 22:54:42,2021-11-03 22:54:42,0.159s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Profile""))",Chrome 95.0.4638.69,,,2021-11-03 22:54:42,2021-11-03 22:54:47,4.978s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Klik_Daftar""))",Chrome 95.0.4638.69,,,2021-11-03 22:54:47,2021-11-03 22:54:49,1.209s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Nama_Lengkap""), Input_Nama_Lengkap)",Chrome 95.0.4638.69,,,2021-11-03 22:54:49,2021-11-03 22:54:50,1.245s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Email""), Input_Email)",Chrome 95.0.4638.69,,,2021-11-03 22:54:50,2021-11-03 22:54:51,1.635s,PASSED
"setText(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Input_Password_Email""), Input_Password_Email)",Chrome 95.0.4638.69,,,2021-11-03 22:54:51,2021-11-03 22:54:52,0.969s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/View_Password""))",Chrome 95.0.4638.69,,,2021-11-03 22:54:52,2021-11-03 22:54:53,0.597s,PASSED
"check(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Click_Saya menyetujui Ketentuan dan Kebijakan Privasi di SehatQ""))",Chrome 95.0.4638.69,,,2021-11-03 22:54:53,2021-11-03 22:54:54,0.444s,PASSED
"click(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Button_Daftar""))",Chrome 95.0.4638.69,,,2021-11-03 22:54:54,2021-11-03 22:54:54,0.549s,PASSED
delay(3),Chrome 95.0.4638.69,,,2021-11-03 22:54:54,2021-11-03 22:54:57,3.008s,PASSED
"if (waitForElementVisible(findTestObject(""OR_Website/Page_SehatQ  Portal Informasi Terbaru Seputar Coronavirus/Email sudah ada, mohon gunakan email lain""), 10))",Chrome 95.0.4638.69,,,2021-11-03 22:54:57,2021-11-03 22:55:08,11.093s,PASSED
else,Chrome 95.0.4638.69,,,2021-11-03 22:55:08,2021-11-03 22:55:24,15.821s,PASSED
