Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Register,,,,2021-11-06 10:42:01,2021-11-06 10:42:51,50.352s,FAILED
,,,,,,,
Test Cases/APK SehatQ/Register,,,,2021-11-06 10:42:01,2021-11-06 10:42:06,4.940s,FAILED
"startExistingApplication(""com.she.sehatq"", STOP_ON_FAILURE)",,,,2021-11-06 10:42:02,2021-11-06 10:42:06,4.599s,FAILED
,,,,,,,
Test Cases/APK SehatQ/Register,,,,2021-11-06 10:42:06,2021-11-06 10:42:51,45.019s,PASSED
"startExistingApplication(""com.she.sehatq"", STOP_ON_FAILURE)",,,,2021-11-06 10:42:06,2021-11-06 10:42:19,12.171s,PASSED
"tap(findTestObject(""OR APK/Aktifkan_Lokasi_Tidak""), 10)",,,,2021-11-06 10:42:19,2021-11-06 10:42:23,4.615s,PASSED
"tap(findTestObject(""OR APK/Klik_Profile""), 10)",,,,2021-11-06 10:42:23,2021-11-06 10:42:24,1.004s,PASSED
"tap(findTestObject(""OR APK/Klik_Daftar""), 10)",,,,2021-11-06 10:42:24,2021-11-06 10:42:27,2.309s,PASSED
"setText(findTestObject(""OR APK/Isi_Nama_Lengkap""), Nama_Lengkap, 10)",,,,2021-11-06 10:42:27,2021-11-06 10:42:29,2.850s,PASSED
"setText(findTestObject(""OR APK/Isi_Email_Registrasi""), Input_Email, 10)",,,,2021-11-06 10:42:29,2021-11-06 10:42:31,1.771s,PASSED
"setText(findTestObject(""OR APK/Isi_Password_Register""), Input_Password, 10)",,,,2021-11-06 10:42:31,2021-11-06 10:42:33,1.827s,PASSED
"tap(findTestObject(""OR APK/Check_Saya_Setuju_Daftar""), 10)",,,,2021-11-06 10:42:33,2021-11-06 10:42:34,0.955s,PASSED
"tap(findTestObject(""OR APK/Klik_Button_daftar""), 10)",,,,2021-11-06 10:42:34,2021-11-06 10:42:35,1.480s,PASSED
"if (waitForElementPresent(findTestObject(""OR APK/Notif_Daftar_Email sudah ada, mohon gunakan email lain""), 10))",,,,2021-11-06 10:42:35,2021-11-06 10:42:46,10.149s,PASSED
else,,,,2021-11-06 10:42:46,2021-11-06 10:42:51,5.872s,PASSED
